Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100200-2a3887e159
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.3.0.2a3887e159
GemmAndBiasTunableOp_float_TN,tn_128_407_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0509292
GemmAndBiasTunableOp_float_TN,tn_2_407_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0133664
GemmAndBiasTunableOp_float_TN,tn_4_407_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0133504
GemmAndBiasTunableOp_float_TN,tn_256_13_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.0555166
GemmAndBiasTunableOp_float_TN,tn_2_13_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0162014
GemmAndBiasTunableOp_float_TN,tn_4_13_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0158114
GemmAndBiasTunableOp_float_TN,tn_10_13_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0162418
GemmAndBiasTunableOp_float_TN,tn_128_86_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0291398
GemmAndBiasTunableOp_float_TN,tn_2_86_128_ld_128_128_2,Gemm_Hipblaslt_1284,0.0111418
GemmAndBiasTunableOp_float_TN,tn_4_86_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0109097
GemmAndBiasTunableOp_float_TN,tn_128_146_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0332183
GemmAndBiasTunableOp_float_TN,tn_2_146_128_ld_128_128_2,Gemm_Hipblaslt_1287,0.0136882
GemmAndBiasTunableOp_float_TN,tn_4_146_128_ld_128_128_4,Gemm_Hipblaslt_1287,0.0137419
GemmAndBiasTunableOp_float_TN,tn_128_93_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0311374
GemmAndBiasTunableOp_float_TN,tn_2_93_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0133552
